date	parameter	value
2020-03-23	coronavirus_search_trend	11.56656
2020-03-24	confirmed_cases_per_day	76
2020-03-24	coronavirus_search_trend	10.87394
2020-03-25	confirmed_cases_per_day	100
2020-03-25	coronavirus_search_trend	10.51795
2020-03-26	confirmed_cases_per_day	104
2020-03-26	coronavirus_search_trend	10.38105
2020-03-27	confirmed_cases_per_day	91
2020-03-27	coronavirus_search_trend	10.15869
2020-03-28	confirmed_cases_per_day	146
2020-03-28	coronavirus_search_trend	10.25105
2020-03-29	confirmed_cases_per_day	105
2020-03-29	coronavirus_search_trend	8.86464
2020-03-30	confirmed_cases_per_day	78
2020-03-30	coronavirus_search_trend	8.6911
2020-03-31	confirmed_cases_per_day	125
2020-03-31	coronavirus_search_trend	8.30075
2020-04-01	confirmed_cases_per_day	101
2020-04-01	coronavirus_search_trend	7.70922
2020-04-02	confirmed_cases_per_day	89
2020-04-02	coronavirus_search_trend	7.50622
2020-04-03	confirmed_cases_per_day	86
2020-04-03	coronavirus_search_trend	7.44741
2020-04-04	confirmed_cases_per_day	94
2020-04-04	coronavirus_search_trend	6.04172
2020-04-05	confirmed_cases_per_day	81
2020-04-05	coronavirus_search_trend	5.55301
2020-04-06	confirmed_cases_per_day	47
2020-04-06	coronavirus_search_trend	10.90885
2020-04-07	confirmed_cases_per_day	47
2020-04-07	coronavirus_search_trend	NA
2020-01-01	confirmed_cases_per_day	0
2020-01-01	coronavirus_search_trend	0.01699
2020-01-02	confirmed_cases_per_day	0
2020-01-02	coronavirus_search_trend	0.01827
2020-01-03	confirmed_cases_per_day	0
2020-01-03	coronavirus_search_trend	0.02845
2020-01-04	confirmed_cases_per_day	0
2020-01-04	coronavirus_search_trend	0.02136
2020-01-05	confirmed_cases_per_day	0
2020-01-05	coronavirus_search_trend	0.01927
2020-01-06	confirmed_cases_per_day	0
2020-01-06	coronavirus_search_trend	0.03154
2020-01-07	confirmed_cases_per_day	0
2020-01-07	coronavirus_search_trend	0.03927
2020-01-08	confirmed_cases_per_day	0
2020-01-08	coronavirus_search_trend	0.02636
2020-01-09	confirmed_cases_per_day	0
2020-01-09	coronavirus_search_trend	39.62181
2020-01-10	confirmed_cases_per_day	0
2020-01-10	coronavirus_search_trend	11.13921
2020-01-11	confirmed_cases_per_day	0
2020-01-11	coronavirus_search_trend	0.50434
2020-01-12	confirmed_cases_per_day	0
2020-01-12	coronavirus_search_trend	0.21144
2020-01-13	confirmed_cases_per_day	0
2020-01-13	coronavirus_search_trend	0.19244
2020-01-14	confirmed_cases_per_day	0
2020-01-14	coronavirus_search_trend	0.25108
2020-01-15	confirmed_cases_per_day	0
2020-01-15	coronavirus_search_trend	0.15535
2020-01-16	confirmed_cases_per_day	0
2020-01-16	coronavirus_search_trend	0.38498
2020-01-17	confirmed_cases_per_day	0
2020-01-17	coronavirus_search_trend	0.55043
2020-01-18	confirmed_cases_per_day	0
2020-01-18	coronavirus_search_trend	0.26262
2020-01-19	confirmed_cases_per_day	0
2020-01-19	coronavirus_search_trend	0.32662
