date	test	negative	confirmed	deceased	age	confirmed_time_age	deceased_time_age	sex	confirmed_time_gender	deceased_time_gender	coronavirus
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-24	27	25	2	0	NA	NA	NA	NA	NA	NA	86.11541
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
2020-01-25	27	25	2	0	NA	NA	NA	NA	NA	NA	62.84847
