.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
106	Mungyeong-si	4	60070	Gyeongsangbuk-do	36.586831	128.18709	17	26	1	1.18	29.25	17.1	147	2. Low	1.5435062581271297	-0.5066021700522311	-0.32479601805812935	-0.48649115131458226	0.1469264599043563	0.16492149174283946	-0.01540589028147796
107	Nam-gu	28	11040	Busan	35.136789	129.08414	21	27	4	1.24	19.13	7.9	475	4. High	-0.5261501170390045	0.13149540658740738	1.0972424774402612	-0.7376718864081804	-0.6489346838762685	-0.05096060051385087	0.0710223993462328
108	Nam-gu	28	12010	Daegu	35.8463	128.597723	11	15	2	0.85	22.49	10.4	345	4. High	0.8477872768349439	0.2849487496117977	0.7415395327880558	-0.07975434035536998	-0.6472687601128947	0.0625724644559872	0.06098600493593305
109	Nam-gu	28	13020	Gwangju	35.132982	126.902379	23	44	4	2.63	16.76	7.5	427	4. High	-1.6368577710521888	0.8262534943951724	-0.018713571363423845	-2.037972114723804	0.3265281236233444	0.2513767301377908	0.1705790514399403
110	Nam-gu	28	16010	Ulsan	35.543833	129.330047	30	44	1	3.23	11.42	4.8	765	4. High	-2.3184595720643353	2.0107955436301603	-1.5986846759668425	-1.2663010024235102	0.5755881951008558	-0.04276331806434273	0.03803076418220462
111	Namdong-gu	10	14040	Incheon	37.44727	126.731429	38	77	0	1.39	12.68	5.5	955	3. Moderate	-1.742099436885527	0.47215515464626406	-0.7327199103230698	1.377959608244255	-0.09082323991294333	0.301600760260556	-0.015140618371758414
112	Namhae-gun	1	61050	Gyeongsangnam-do	34.837688	127.892595	13	10	1	1.03	36.92	23.3	88	2. Low	2.7378854782658997	-1.237987197935953	-0.6506946509173795	-0.9541563163337484	-0.11332605484650944	0.07575322049140747	-0.1537250993628485
113	Namyangju-si	23	20090	Gyeonggi-do	37.635791	127.216552	64	110	1	1.38	13.44	5	912	4. High	-2.807713308545686	-0.6909211986683458	-0.5812721376811734	1.5484045833377187	0.5825380600868476	0.00687455713928623	0.1519203695024338
114	Nowon-gu	23	10090	Seoul	37.654259	127.056294	42	66	6	1.39	15.4	7.4	952	4. High	-2.514673516293661	-0.911450345878268	1.091612371118345	-0.784337012365632	-0.9479928345241405	0.056061457753099675	-0.17282686386852078
115	Osan-si	7	20220	Gyeonggi-do	37.149854	127.077461	23	50	2	1.25	9.09	3.6	314	3. Moderate	-1.1110727576134312	1.1286105766012202	1.055167951852889	0.47552091974375565	0.2965354205129395	0.3062595618515211	-0.10999286406226953
116	Paju-si	6	20270	Gyeonggi-do	37.759818	126.7799	57	98	1	1.34	13.52	5.3	573	2. Low	-2.1661663724637075	-0.3929492982993459	-0.16297383733800747	1.3034927201445952	0.9582425642882341	0.01773141177820825	0.1476587058194219
117	Pocheon-si	11	20290	Gyeonggi-do	37.894881	127.200346	31	33	2	0.89	18.92	8.2	209	3. Moderate	-1.5261421349518575e-4	0.03387767102260214	0.9073081611693804	0.3450542409931761	0.171407885542733	-0.32501045856995225	0.03472291491726761
118	Pohang-si	50	60230	Gyeongsangbuk-do	36.019052	129.343645	66	117	4	1.51	16.44	8	877	4. High	-3.167743278735718	-1.705999831372221	0.05655553021713758	0.2787156260730397	0.3800347717020643	0.17684393268337203	0.07074190796485169
119	Pyeongtaek-si	37	20280	Gyeonggi-do	36.992293	127.112709	58	108	3	1.39	12.13	5.6	765	4. High	-2.9143601823973637	-0.848452740558273	0.27089129958298325	0.7626847574348973	0.49588748589456955	0.25074187194078085	-0.009866984428656213
120	Sacheon-si	2	61070	Gyeongsangnam-do	35.003668	128.064272	18	20	0	1.84	21.17	11.7	191	2. Low	0.6180825123401372	0.9656588145312016	-0.7178830043899486	-0.45997130508955497	0.5680332799742572	-0.056025897703351646	-0.04222026957207848
121	Saha-gu	10	11100	Busan	35.104642	128.974792	26	42	2	1.34	17.76	8.1	541	3. Moderate	-0.6156170554587963	0.3187569840007859	0.24210874362003293	0.020194029303351683	-0.2100158139783895	0.0651916725815325	0.019301497722995976
122	Samcheok-si	1	30040	Gangwon-do	37.449899	129.165365	19	17	0	1.01	24.26	13	94	2. Low	1.4162752001522438	0.2586080488824481	-0.07001968240929435	0.26074920211629604	0.3004782018408631	-0.16724872558623372	-0.02846706748498579
123	Sancheong-gun	1	61080	Gyeongsangnam-do	35.415544	127.87349	13	11	0	0.65	35.42	20.6	72	2. Low	2.877873538726069	-0.9655776137886397	-0.4487967862930802	-0.06147891263659601	-0.11601704477452011	0.00902850471118502	0.009410723868062368
124	Sangju-si	15	60090	Gyeongsangbuk-do	36.410977	128.159024	28	35	0	1.03	30.09	17.3	186	3. Moderate	1.4894084492080055	-0.8307727863342141	-0.6921337724887383	0.16463528845019723	0.3952162442541953	-0.07588637969702927	0.01636598847450142
125	Sasang-gu	2	11090	Busan	35.152777	128.991142	21	31	3	0.78	17	8.1	317	2. Low	-0.08434486947544681	0.14197402826013394	1.361101008768211	0.10971762537901639	-0.3716231432303557	0.040608375500269266	-0.12150960260441673
126	Seo-gu	31	11110	Busan	35.098135	129.024193	11	9	0	1.02	24.36	12.3	235	4. High	1.5022203379823937	0.5725499109587308	-0.11377386947366164	0.186135716252053	-0.1705731375691885	-0.05707471253484351	0.03379905286737737
127	Seo-gu	31	12060	Daegu	35.871993	128.559182	17	23	0	0.83	21.29	10.1	374	4. High	0.8952621509619412	0.49926281374614306	0.060116408454549325	0.7711250930095176	-0.2508404190479845	-0.018618698205635952	0.02799794193582658
128	Seo-gu	31	13050	Gwangju	35.152516	126.889614	30	55	0	2.5	13.52	6.1	676	4. High	-1.595783300652669	1.4621710951738047	-1.3779997825540673	-0.20547014314366543	0.6018545038278148	0.16162903059230407	0.07874747739838324
129	Seo-gu	31	14070	Incheon	37.545557	126.675994	44	80	0	1.4	10.02	3.9	670	4. High	-1.884959410119902	0.6235468347959909	-0.3360369996932418	1.4861354692667692	0.6003784815028366	0.12218677390386502	-0.021327267804160145
130	Seo-gu	31	15030	Daejeon	36.35553	127.383755	39	78	3	1.81	12.05	4.9	1123	4. High	-2.770689234661163	0.1727601518517105	-0.21360785482959396	0.05255651631559249	-0.5671484913096001	0.33363265227226	-0.02382968716704001
131	Seocho-gu	30	10150	Seoul	37.483804	127.032693	24	27	1	2.6	13.39	3.8	1465	4. High	-2.2496535241261935	1.8673517628115488	-1.6648563595185961	-0.5371675093248716	-1.3095324422743222	-0.21082381104512452	0.05877631153093574
132	Seodaemun-gu	18	10140	Seoul	37.579428	126.936771	19	25	6	1.12	16.77	6.2	587	3. Moderate	-1.0835671880031905	0.018007895780391962	1.9436981013237573	-1.1311574998655884	-1.2043087661264966	-0.004420680217688035	0.0024153427559005167
133	Seongbuk-gu	18	10170	Seoul	37.589562	127.0167	29	49	6	1.02	16.15	6	729	3. Moderate	-1.6931795903090323	-0.5114203667141064	1.8023388632098987	-0.6752352686572779	-1.1128696812949217	0.11921169343295078	0.02192793085448096
134	Seongdong-gu	8	10160	Seoul	37.563277	127.036647	21	30	2	0.97	14.76	5.3	593	3. Moderate	-0.5432555891168874	0.7550256750504113	0.8179288189240862	0.49383952834419853	-0.6480656185464192	-0.04292101549353902	-0.008749475163823897
135	Seongju-gun	22	60100	Gyeongsangbuk-do	35.919325	128.283237	12	15	0	0.59	30.89	15.9	84	4. High	2.3404682838990056	-0.38603534486596675	-0.015117096556366016	0.33760164773720636	-0.10526270474304783	0.03837421383655682	0.18460973481445683
136	Seongnam-si	118	20120	Gyeonggi-do	37.42	127.126703	72	127	3	2.08	13.52	5.6	2095	4. High	-4.952187854354282	-1.2845168078369538	-1.7988577522678362	0.7147364869663053	-1.2325271097019967	0.1534829640324093	-0.013523235628196928
137	Seosan-si	8	41080	Chungcheongnam-do	36.784751	126.450289	29	39	1	1.3	18.01	8.4	261	3. Moderate	-0.1541846220183038	0.448423957147061	0.1813689083880348	0.2861809429198592	0.4408326400739325	-0.1229693587135181	0.03157023385080493
138	Siheung-si	10	20140	Gyeonggi-do	37.38011	126.803009	46	74	2	1.55	8.86	3.8	622	3. Moderate	-2.3176148166832	0.43580414004247386	0.2944636910332848	0.6597565926095686	0.49047484614473025	-0.02382976409645244	-0.1580160330415162
139	Sokcho-si	3	30050	Gangwon-do	38.207022	128.591861	12	11	0	1.54	18.33	9.7	165	2. Low	0.7689221646872855	1.3667212098437427	-0.17680623136944845	-0.11450763506410423	0.32017271606883896	-0.0460526566958105	-0.10412259329890221
140	Songpa-gu	36	10180	Seoul	37.51462	127.106141	40	51	1	1.65	13.1	4.1	1527	4. High	-2.39130662789984	0.6835228823845639	-1.064970659723105	0.8424959432031185	-1.37483646556435	-0.30461004435712163	-0.06700492424251349
141	Suncheon-si	2	51110	Jeollanam-do	34.950592	127.487396	42	61	3	1.94	15.2	8.3	452	2. Low	-1.7155570250576408	0.01205597628353889	0.07009420992277997	-0.6327045766275157	0.5960541466543758	-0.07053667105022038	-0.1287711895233264
142	Suseong-gu	2	12070	Daegu	35.858395	128.630551	34	49	1	2.28	15	6.9	948	2. Low	-1.7877541372165537	0.9431529880398766	-1.2169541420740093	-0.27742360880946504	-0.14210371406863279	-0.07609493560382291	-0.03176707423566095
143	Suwon-si	49	20130	Gyeonggi-do	37.263376	127.02861300000001	99	192	4	1.72	10.5	4.5	2082	4. High	-6.4737800134516075	-2.7716344310964423	-1.309363643677821	1.63758279727449	-0.41219300546174137	0.4952536329890099	0.035812117364688305
144	Suyeong-gu	9	11120	Busan	35.145805	129.113194	10	22	0	1.56	20.4	8.2	395	3. Moderate	0.459055126691459	1.2775165581307852	-0.41739728176474217	0.01236861520586156	-0.06903865676134165	0.17444211600650594	0.2835709582764074
145	Taean-gun	1	41140	Chungcheongnam-do	36.745577	126.29795	19	20	0	0.83	29.98	13.8	112	2. Low	1.7924300831277995	-0.25501751125686334	-0.16147794718553463	0.3050313603145654	0.12349609854020006	-0.16675160476858636	0.36311237902046417
146	Taebaek-si	1	30140	Gangwon-do	37.16406	128.985736	12	12	1	1.16	23.88	12.8	64	2. Low	1.3535729611251874	0.4178196443301783	0.24042233658054843	-0.3296098038071446	0.13333906254180333	0.0021855139623378457	-0.020762938892081542
147	Uijeongbu-si	27	20250	Gyeonggi-do	37.738058	127.033716	33	62	1	1.59	14.61	6.4	729	4. High	-1.3929276745496817	0.5366879755940975	-0.3930139255350667	0.5094758935652683	0.03876566649811065	0.19486106357631866	0.034399627903545844
148	Uiseong-gun	41	60190	Gyeongsangbuk-do	36.352718	128.697088	16	16	0	0.32	40.26	23.7	108	4. High	3.346789095525099	-1.7990148827653136	-0.5485380244455412	0.12236050075066454	-0.2988629761570439	0.027786639221609895	0.03454813024852714
149	Uiwang-si	5	20240	Gyeonggi-do	37.344649	126.968299	14	24	1	1.09	12.99	5	189	2. Low	0.04833138630080503	1.4184025581684805	0.902125366733691	0.4979712558806346	0.13736948492771384	0.07887626930304023	-0.02289568959989034
150	Ulju-gun	3	16040	Ulsan	35.522126	129.242507	30	49	2	1.74	13.94	6.7	260	2. Low	-1.0263260696889804	0.732219826737362	0.3241729578770045	-0.26236389824875006	0.6819202351533571	0.06597960993712802	-0.031153205531752506
151	Wonju-si	19	30090	Gangwon-do	37.341963	127.919668	50	71	4	1.71	14.46	6.7	597	3. Moderate	-2.327876462918531	-0.44742365759529457	0.4998654586506902	-0.42430475009996993	0.3166009199924046	-0.183168019687927	-0.05847855034353951
152	Yangcheon-gu	21	10190	Seoul	37.517189	126.866618	30	43	0	2.26	13.55	5.5	816	4. High	-1.4860243703642673	1.4925233583606379	-1.2447519454084146	0.039299742012406366	0.11489131940692393	-0.09615418340346757	0.02790910286591226
153	Yangju-si	2	20180	Gyeonggi-do	37.785253	127.045823	33	48	1	1.16	15.23	6.3	252	2. Low	-0.5330705986920778	0.503526272139026	0.4663183828511045	0.6984379962146477	0.5725985533812095	-0.11727885448808952	0.05271674256029835
154	Yangsan-si	4	61090	Gyeongsangnam-do	35.335016	129.037057	37	68	2	1.59	12.92	6.2	507	2. Low	-1.6209460139918321	0.33272870693127493	0.1828386094283354	0.23971677627142685	0.46347749926930143	0.19730009030501874	-0.0486238706481813
155	Yecheon-gun	6	60160	Gyeongsangbuk-do	36.646707	128.437435	12	15	1	1.09	29.79	18.4	97	2. Low	1.9865646545468305	-0.44490611664765684	-0.2284453850135297	-0.6044189308316205	0.00937266187178407	0.15800767425596968	-0.15812810378972644
156	Yeongcheon-si	36	60150	Gyeongsangbuk-do	35.973268	128.938603	18	23	1	0.83	27.32	15.3	192	4. High	1.497917496944509	-0.4409144465387412	0.09444292155061454	0.020054268854561467	-0.0939941778331842	0.036242312558382984	-0.04378480577656243
157	Yeongdeok-gun	2	60120	Gyeongsangbuk-do	36.415059	129.366107	9	11	0	0.75	36.45	22.3	81	2. Low	3.061132502601811	-1.0152870429748981	-0.6453344011812544	-0.3040130651776915	-0.15848035191720428	0.19545528336500026	-0.067254011650005
158	Yeongdeungpo-gu	22	10200	Seoul	37.526505	126.89619	23	39	0	1.21	15.6	5.8	1001	4. High	-0.7602870232538381	0.9604323230955746	-0.5447296995046461	1.074818750739015	-0.9118357565783045	0.05178123918692817	0.03054361424117956
159	Yeongju-si	5	60140	Gyeongsangbuk-do	36.805702	128.623958	19	26	2	1.61	26.22	13.2	191	2. Low	0.6363345516108795	-0.020742327411641615	-0.11055613860397093	-1.005903517579654	0.19424384112176488	0.03219257815952396	0.19217578449129813
160	Yeongyang-gun	2	60130	Gyeongsangbuk-do	36.666664	129.112401	6	8	0	0.35	36.36	21.1	24	2. Low	3.347547280683461	-1.0183994580687004	-0.1497398640175519	0.10973181972173489	-0.32896496912251133	0.20023231875470993	0.026958708310042125
161	Yeonje-gu	4	11130	Busan	35.176406	129.079566	16	18	2	1.39	18.27	7.8	450	2. Low	-0.0633769410672186	0.8604879140465703	0.40768387785800647	-0.34050984480585783	-0.4206226230512651	-0.07199985596530765	0.033382929677544006
162	Yeonsu-gu	18	14080	Incheon	37.410262	126.678309	23	43	1	1.77	9.48	4	467	3. Moderate	-1.2289309616291828	1.6005007534799012	0.10482058710245779	0.2165891023584597	0.32705448470873294	0.16797399366502416	-0.11742473825140734
163	Yeosu-si	3	51130	Jeollanam-do	34.760421	127.662287	50	73	1	1.85	18.59	9.5	471	2. Low	-1.3882460858894883	-0.27689826425201314	-0.7879422697268528	0.16068908391028905	0.9852275536922818	-0.16394554082454355	0.06453181234924275
164	Yongin-si	59	20230	Gyeonggi-do	37.240985	127.17805	103	169	7	1.82	12.77	4.1	1429	4. High	-6.205697955205067	-3.0994872087578598	0.22942852043873743	0.15168514314418768	0.25529510905418623	-0.12702483871174164	0.20499923174951293
165	Yongsan-gu	17	10210	Seoul	37.532768	126.990021	15	13	1	0.68	16.87	6.5	435	3. Moderate	0.4493754990004938	0.9212206309131388	0.8360592528153992	0.7950206039342063	-0.6469365446506615	-0.1817179493785581	-0.02451720107805722
166	Yuseong-gu	19	15040	Daejeon	36.362226	127.356153	38	75	5	1.54	9.04	3.3	586	3. Moderate	-2.690247801286154	0.0886154011339297	1.4076031632001733	-0.3854892766752155	0.019610648360334618	0.31419325450670976	-0.07262056540015988
167	Yeongdo-gu	0	11140	Busan	35.091362	129.067884	14	12	2	0.69	26.13	13.3	203	1. None	1.4078168138865415	-0.2566211653068901	0.7368100964986875	-0.16009656991860483	-0.47762045628128974	-0.0713282864977241	0.010612227526455199
168	Gwangsan-gu	0	13010	Gwangju	35.139941	126.7937	45	90	4	2.32	9.1	4.6	640	1. None	-3.2247831882857545	0.25045949087068903	0.19307649773100746	-0.7585676633641161	0.6893899747284016	0.3958022984570822	-0.07415330105752659
169	Ganghwa-gun	0	14010	Incheon	37.747065	126.487777	20	19	1	0.68	31.97	13.9	107	1. None	1.7932547878449898	-0.6504344650348609	0.2366325151016703	0.08492463459604126	-0.09495050461353922	-0.2345142745508231	0.48031699244273934
170	Ongjin-gun	0	14090	Incheon	37.446777	126.636747	6	10	0	0.19	25.35	11.1	32	1. None	2.2051280727324523	0.29789439566204223	0.8647668740286525	0.9967917472515981	-0.2911643617233308	0.0748316644809318	0.23175989168683547
171	unknown_Sejong	0	17000	Sejong	36.480132	127.289021	48	60	3	1.78	9.48	3.8	491	1. None	-2.3520072811748136	0.47368985827642474	0.5614950167969383	-0.0601031296389092	0.6029277173398843	-0.3706770855729758	-0.16247985212583627
172	Yangpyeong-gun	0	20190	Gyeonggi-do	37.491744	127.48757	22	25	1	0.78	24.66	11.1	178	1. None	1.0216275241506452	-0.0898205934835406	0.43464854302185724	0.3669834030150118	0.00955651301622199	-0.16735470413619072	0.20064533865709192
173	Yeoju-si	0	20200	Gyeonggi-do	37.298209	127.637351	23	34	1	1	21.05	8.8	191	1. None	0.4325065390726953	0.29163844443115056	0.4408854092152664	0.396334629398322	0.23284108388673364	-0.04281193163090019	0.22742084502361154
174	Yeoncheon-gun	0	20210	Gyeonggi-do	38.096409	127.075067	13	13	0	0.82	25.41	12.7	69	1. None	1.7516154552921863	0.3053130155847871	0.1449550548846942	0.35166671117847736	0.09673958854533239	-0.05948251190293953	0.09677612297637447
175	Donghae-si	0	30030	Gangwon-do	37.524689	129.114239	14	17	0	1.6	19.41	10.1	140	1. None	0.7241816482324162	1.1971081805698573	-0.28685780003866945	-0.16835594088686012	0.4695592531703197	-0.001606910921645311	-0.02219818417644828
176	Yanggu-gun	0	30060	Gangwon-do	38.110002	127.990092	10	9	0	1.01	20.38	9.9	33	1. None	1.3593949894922246	1.0362009014169549	0.35302161628404133	0.3188958913998018	0.22722322699233277	-0.04717407514321877	0.01050146245894844
177	Yangyang-gun	0	30070	Gangwon-do	38.075405	128.619125	13	15	0	0.69	28.92	14.6	37	1. None	2.1249863411917693	-0.13249041809829207	0.07058633100401522	0.32760422517550686	0.06874758834403802	-0.011669190979178559	0.18045705099207138
178	Yeongwol-gun	0	30080	Gangwon-do	37.183694	128.461835	13	15	1	0.87	28.54	15.4	56	1. None	1.8633625739431414	-0.26668260056415216	0.1987170531812657	-0.21335286180120253	-0.002412504537364878	0.03874196665705778	0.05836261142419736
179	Jeongseon-gun	0	30110	Gangwon-do	37.38062	128.660873	16	15	0	0.67	26.79	13.9	53	1. None	1.909869424695478	-0.041843787090565535	0.15921271169262116	0.46819196320448314	0.11026173334596125	-0.11144346478345189	0.057333568067924515
180	Cheorwon-gun	0	30120	Gangwon-do	38.146693	127.3134	16	12	0	1.14	21.8	11.1	70	1. None	1.242128599397891	0.7513173580958035	0.05151813586800736	0.1870089159808318	0.33603279532885927	-0.18365969655737127	-0.013406958379209197
181	Pyeongchang-gun	0	30150	Gangwon-do	37.370743	128.390335	19	16	0	0.81	27.04	13.7	84	1. None	1.7285013158267861	-0.048086608614289136	-0.009478545379433611	0.3667868640885293	0.17481619231911488	-0.20778063552597606	0.10189665554065548
182	Hongcheon-gun	0	30160	Gangwon-do	37.697037	127.888821	26	26	0	1.14	25.28	12.6	115	1. None	1.094816712643238	0.03936364218070578	-0.27726796466832493	0.2539669835075605	0.5070658721428404	-0.2668417101430285	0.1309835207931908
183	Hwacheon-gun	0	30170	Gangwon-do	38.106152	127.708163	13	14	0	0.72	21.75	11.2	36	1. None	1.5485864559539178	0.567879776607348	0.45729764944472706	0.6112961790795695	0.1676893040858517	-0.03666069790565788	-0.0431676989354009
184	Hoengseong-gun	0	30180	Gangwon-do	37.491702	127.98504200000001	16	13	2	0.97	28.22	13.3	69	1. None	1.421023433703127	-0.2550287865989801	0.545440351277527	-0.5345481658164758	-0.08781702533273615	-0.15587998039858203	0.24062772475268848
185	Boeun-gun	0	40030	Chungcheongbuk-do	36.489402	127.729503	15	16	0	0.67	33.46	18.4	74	1. None	2.522167281671926	-0.7690036259746131	-0.31141102108349616	0.11556314446185462	-0.013111683568991405	-0.006064816329007086	0.11620400811739331
186	Yeongdong-gun	0	40040	Chungcheongbuk-do	36.175017	127.783431	14	14	1	0.94	30.32	16.1	108	1. None	1.9009989157811376	-0.40316042659726	-0.009792144612235163	-0.34286631696432057	-0.08083195832525011	-0.018394363904855156	0.11740920100733973
187	Okcheon-gun	0	40050	Chungcheongbuk-do	36.306367	127.57128	12	17	1	0.63	28.83	14.9	107	1. None	1.9275043935618976	-0.379651186546511	0.375881976288011	0.08178904298840738	-0.21688847158459687	0.09343902545771451	0.1216898867435536
188	Jecheon-si	0	40070	Chungcheongbuk-do	37.132583	128.190946	24	35	2	1.31	20.92	10.5	245	1. None	0.10688855190789474	0.1009203468289691	0.3569734047926926	-0.29990682616579967	0.18723106947994306	0.01955015988535642	0.031721227276799234
189	Gongju-si	0	41020	Chungcheongnam-do	36.446508	127.11903	28	34	2	1.16	25.2	11.7	221	1. None	0.42647896069281244	-0.39297122366727927	0.2901141280674068	-0.27137420980642435	0.1586153918287719	-0.171499212877277	0.21922972724739392
190	Geumsan-gun	0	41030	Chungcheongnam-do	36.108887	127.487966	16	16	1	0.67	30.15	14.8	119	1. None	1.8797975891627687	-0.5055234574130192	0.27260603826586544	0.046348988078654965	-0.18273416347334695	-0.09323180947933023	0.22115687359588934
191	Nonsan-si	0	41040	Chungcheongnam-do	36.187076	127.098959	33	32	2	1.03	25.54	13.4	262	1. None	0.5115174880206179	-0.7239680324642626	0.2349054145010789	-0.1603817052122233	0.09372362492158334	-0.3421251961658321	-0.00942843121915973
192	Dangjin-si	0	41050	Chungcheongnam-do	36.889777	126.645814	30	35	1	1.2	18.14	7.9	265	1. None	-0.10303356222258901	0.4487894674469729	0.29143121551027795	0.39437542802963943	0.36070238010363015	-0.2582415901855457	0.05946222531052788
193	Boryeong-si	0	41060	Chungcheongnam-do	36.333317	126.612679	29	33	1	1.23	25.04	12.6	186	1. None	0.6433791439421034	-0.24235619660682645	-0.1181035707612766	-0.060895882905157475	0.40562846791852714	-0.212590727484578	0.11855845161496735
194	Seocheon-gun	0	41090	Chungcheongnam-do	36.080266	126.691394	18	18	0	0.97	35.25	18.9	116	1. None	2.3512627122593055	-0.8422266240666266	-0.7181805134233326	-0.21624798020285219	0.0965387406030396	-0.08021153105162324	0.2340317434924481
195	Yesan-gun	0	41110	Chungcheongnam-do	36.680222	126.844687	24	26	0	0.95	30.27	14.5	156	1. None	1.5717026775177028	-0.4537794516816121	-0.40026012835729946	0.24759839031706793	0.24005615983198744	-0.20663783625924426	0.32083546751212755
196	Cheongyang-gun	0	41130	Chungcheongnam-do	36.459129	126.802333	12	13	1	0.6	34.51	18	62	1. None	2.5132899539623494	-0.9107911387401035	0.10954794279810687	-0.2036367777048605	-0.25550704668596386	0.029189439378477552	0.23114869500646548
197	Gochang-gun	0	50010	Jeollabuk-do	35.435767	126.702152	21	22	0	0.95	33.33	20.6	123	1. None	2.2679996761955876	-1.0051447802563285	-0.7681920315187613	-0.1551981869229689	0.20385537961011774	-0.02521374415005621	-0.12359362744984653
198	Namwon-si	0	50040	Jeollabuk-do	35.416349	127.390265	27	28	0	1.42	27.25	16.3	186	1. None	1.1737937812558445	-0.27681939658751337	-0.8631804277916002	-0.2045713462800779	0.5377823562802875	-0.1661925620468993	-0.10240167471325395
199	Muju-gun	0	50050	Jeollabuk-do	36.006777	127.660789	10	9	0	0.74	32.71	18.7	53	1. None	2.673717111696381	-0.5156756322873207	-0.2972468798328506	-0.062094565262742256	-0.07702143100036583	0.055974984573855024	0.015174533176144514
200	Buan-gun	0	50060	Jeollabuk-do	35.731805	126.733347	22	25	0	0.99	32.2	19.1	118	1. None	2.038969746592341	-0.8538560738433546	-0.6944065933989226	-0.07706461668020179	0.28501120413372044	-0.033476369652886626	-0.029357165333052007
201	Sunchang-gun	0	50070	Jeollabuk-do	35.374421	127.137597	15	15	0	0.7	32.97	20.2	72	1. None	2.6165495999327173	-0.86307311041512	-0.41570507781373056	0.012442780304578106	0.015171811799107213	0.040095653604855556	-0.13605595243892754
202	Wanju-gun	0	50080	Jeollabuk-do	35.904724	127.162209	29	37	3	1.52	22.38	9.8	170	1. None	-0.22628918893395478	-0.11860433705369515	0.5405091993178773	-0.8246312921190203	0.3678772928942521	-0.14980204436064848	0.2454655682555902
203	Imsil-gun	0	50100	Jeollabuk-do	35.617891	127.288868	15	14	1	0.55	34.82	20.1	79	1. None	2.6071547790953997	-1.2127191527248957	-0.008119064071230189	-0.2017369180095659	-0.24147322120951234	0.004467092065576158	-0.004402986364616687
204	Jangsu-gun	0	50110	Jeollabuk-do	35.647281	127.521204	8	8	0	0.58	32.87	19.1	44	1. None	2.858535426140833	-0.585983897158327	-0.16232240052528804	0.05981154498982639	-0.17977677705940326	0.1170927550295347	-0.02903712120167949
205	Jeongeup-si	0	50130	Jeollabuk-do	35.569768	126.856148	34	39	1	1.64	26.92	15.9	256	1. None	0.4893377960349264	-0.5875387188461032	-0.8247767689734192	-0.572130888868259	0.6038774078729058	-0.1871996658427111	-0.059575590058796354
206	Jinan-gun	0	50140	Jeollabuk-do	35.791669	127.424806	13	12	0	0.39	33.8	19.5	54	1. None	2.8747012931784424	-0.9375167050642184	-0.09801889360355931	0.3080033448855294	-0.17866467290172217	0.01364699089959002	-0.022911940772451025
207	Gangjin-gun	0	51010	Jeollanam-do	34.642006	126.767267	14	14	0	0.79	33.87	21.7	71	1. None	2.7442015597790945	-0.9520372972645135	-0.5940910045816505	-0.18807544322598668	0.029002238481162696	0.09289319938237162	-0.22232806572037409
208	Goheung-gun	0	51020	Jeollanam-do	34.61117	127.285055	17	21	0	0.71	40.04	24.5	141	1. None	3.0637822667951142	-1.7235660638167067	-0.9737795309870382	-0.2698444544094544	-0.10224154290104986	0.1260188737211682	-0.014200941446725462
209	Gokseong-gun	0	51030	Jeollanam-do	35.282015	127.292107	8	8	1	0.87	35.16	22.5	70	1. None	2.8323947360596966	-1.0215464909490353	-0.3613644065029509	-0.7740380658847053	-0.23708384404372704	0.21435460173808604	-0.21162794977901916
210	Gurye-gun	0	51050	Jeollanam-do	35.202521	127.462789	10	12	0	0.79	33.3	19.4	57	1. None	2.6820874112360618	-0.6126512542382039	-0.4085898363681747	-0.1372344622326302	-0.037755845819380435	0.130711872907035	0.0073997867388571675
211	Naju-si	0	51060	Jeollanam-do	35.015818	126.710826	24	30	3	1.4	22.16	13.2	214	1. None	0.20517266275977472	-0.2645253669768405	0.47032694979649825	-0.9172717365138506	0.1057616100839218	0.005571775351956462	-0.20198558134905983
212	Damyang-gun	0	51070	Jeollanam-do	35.321144	126.988229	14	15	1	0.28	30.27	16.3	98	1. None	2.2748319546446054	-0.7890951869745241	0.5597619048436356	0.36815913594340866	-0.3649560733293769	0.0014955376785270383	0.02211187787967523
213	Boseong-gun	0	51100	Jeollanam-do	34.771453	127.080097	17	19	0	0.65	37.43	23.8	98	1. None	2.987418514842129	-1.5272635674152542	-0.7551477380052842	-0.13873246904302736	-0.033054175215713	0.09962398766255232	-0.16790812914620123
214	Sinan-gun	0	51120	Jeollanam-do	34.833564	126.351636	19	22	0	0.2	35.18	21	77	1. None	2.882472247050807	-1.4973752693812592	-0.14143675448080367	0.5569610698824213	-0.1290709027031645	0.023534356889830858	-0.07800279749029436
215	Yeonggwang-gun	0	51140	Jeollanam-do	35.277188	126.512087	13	15	1	1.24	28.4	17.3	116	1. None	1.7248468728142747	-0.2219306779200068	-0.2794727361593838	-0.6690070159651068	0.07773374836079591	0.10861707144001642	-0.14172813156884956
216	Yeongam-gun	0	51150	Jeollanam-do	34.800192	126.696802	16	18	2	0.82	25.99	15.6	100	1. None	1.4639598475121944	-0.46669904246672583	0.5768185383106967	-0.36475190139681435	-0.11951731868028984	0.05122601945416848	-0.20988305220280645
