.rownames	city	confirmed	code	province	latitude	longitude	elementary_school_count	kindergarten_count	university_count	academy_ratio	elderly_population_ratio	elderly_alone_ratio	nursing_home_count	class	.fittedPC1	.fittedPC2	.fittedPC3	.fittedPC4	.fittedPC5	.fittedPC6	.fittedPC7
25	Dalseo-gu	4	12020	Daegu	35.830128	128.532635	55	78	3	1.72	13.56	6.5	1064	2. Low	-2.8203276107189406	-0.45664430999278527	-0.307077147149374	0.185922780732266	-0.24240730295394464	-0.21857241249608564	-0.16651473367204517
26	Dalseong-gun	1	12030	Daegu	35.77475	128.431314	32	47	1	1.51	12.11	5.4	361	2. Low	-1.0033099180281966	0.9588113414236165	0.211713175824278	0.45630551565379657	0.555981376831488	-0.07721565787186509	-0.09040541076219145
27	Danyang-gun	1	40020	Chungcheongbuk-do	36.984657	128.365476	11	11	0	0.5	29.52	15.8	52	2. Low	2.415141025841191	-0.27926084755441566	0.15829906740152394	0.4238498447387175	-0.12192275974610854	0.009566918354409294	0.05612808602821468
28	Dobong-gu	7	10100	Seoul	37.668952	127.047082	23	26	1	0.95	17.89	7.2	485	3. Moderate	0.02961055600760201	0.615195449598591	0.40331020484927377	0.6398563020078939	-0.36602607808592563	-0.19930756446600378	0.03658168524545876
29	Dong-gu	12	11050	Busan	35.129432	129.04554	7	9	0	0.83	25.42	13.8	239	3. Moderate	1.8386764741928163	0.37926279710741817	-0.04428990409890102	0.26332228274358277	-0.34352586867408313	0.11914375389323437	-0.04945918162911282
30	Dong-gu	12	12040	Daegu	35.886836	128.635537	32	58	0	1.15	18.81	9	649	3. Moderate	-0.45197617041262367	0.11594268965705246	-0.5249935657198771	1.0330167364914316	0.005949379265401283	0.15059460138682254	0.053804584071056843
31	Dong-gu	12	13030	Gwangju	35.14626	126.92313300000001	11	18	3	2.88	21.59	8.8	327	3. Moderate	-0.6268764078977137	1.3650704847396569	-0.557119341047014	-2.500322410560266	0.24974085754994774	0.12082996484946665	0.40779097142369586
32	Dong-gu	12	14050	Incheon	37.474101	126.643266	8	12	1	0.68	21.62	10.5	122	3. Moderate	1.3872019421821404	0.5526971496691812	0.8191428691465149	0.3227114098655819	-0.24882861187718314	0.10206514524850058	0.00808273776868398
33	Dong-gu	12	15020	Daejeon	36.31204	127.454742	23	35	4	0.93	18.16	8.1	447	3. Moderate	-0.49882591220681444	-0.1348790056525277	1.3804712703398552	-0.31726278351524395	-0.6201600452698721	0.05306593770932515	-0.02971726913681706
34	Dong-gu	12	16020	Ulsan	35.504806	129.416575	16	25	1	1.73	11.68	4.4	242	3. Moderate	-0.5109214400192293	1.8250089202866386	0.3553270234271093	-0.09083428699843864	0.4044160035466139	0.03469771127309897	-0.0070353018029524475
