date	confirmed_time_age	age
2020-03-27	108	0s
2020-03-27	428	80s
2020-03-27	496	10s
2020-03-27	630	70s
2020-03-27	960	30s
2020-03-27	1170	60s
2020-03-27	1256	40s
2020-03-27	1752	50s
2020-03-27	2532	20s
2020-03-28	109	0s
2020-03-28	432	80s
2020-03-28	501	10s
2020-03-28	632	70s
2020-03-28	978	30s
2020-03-28	1201	60s
2020-03-28	1278	40s
2020-03-28	1780	50s
2020-03-28	2567	20s
2020-03-29	111	0s
2020-03-29	434	80s
2020-03-29	508	10s
2020-03-29	635	70s
2020-03-29	993	30s
2020-03-29	1210	60s
2020-03-29	1292	40s
2020-03-29	1798	50s
2020-03-29	2602	20s
2020-03-30	112	0s
2020-03-30	437	80s
2020-03-30	513	10s
2020-03-30	640	70s
2020-03-30	1002	30s
2020-03-30	1218	60s
2020-03-30	1297	40s
2020-03-30	1812	50s
2020-03-30	2630	20s
2020-03-31	112	0s
2020-03-31	442	80s
2020-03-31	515	10s
2020-03-31	651	70s
2020-03-31	1012	30s
2020-03-31	1235	60s
2020-03-31	1312	40s
2020-03-31	1851	50s
2020-03-31	2656	20s
2020-04-01	116	0s
2020-04-01	452	80s
2020-04-01	519	10s
2020-04-01	658	70s
2020-04-01	1027	30s
2020-04-01	1245	60s
2020-04-01	1323	40s
2020-04-01	1865	50s
2020-04-01	2682	20s
2020-04-02	119	0s
2020-04-02	453	80s
2020-04-02	522	10s
2020-04-02	663	70s
2020-04-02	1043	30s
2020-04-02	1258	60s
2020-04-02	1336	40s
2020-04-02	1878	50s
2020-04-02	2704	20s
2020-04-03	121	0s
2020-04-03	456	80s
2020-04-03	528	10s
2020-04-03	668	70s
2020-04-03	1052	30s
2020-04-03	1266	60s
2020-04-03	1350	40s
2020-04-03	1887	50s
2020-04-03	2734	20s
2020-04-04	122	0s
2020-04-04	461	80s
2020-04-04	530	10s
2020-04-04	678	70s
2020-04-04	1066	30s
2020-04-04	1282	60s
2020-04-04	1358	40s
2020-04-04	1898	50s
2020-04-04	2761	20s
2020-04-05	124	0s
2020-04-05	462	80s
2020-04-05	535	10s
2020-04-05	681	70s
2020-04-05	1083	30s
2020-04-05	1289	60s
2020-04-05	1370	40s
2020-04-05	1904	50s
2020-04-05	2789	20s
2020-04-06	126	0s
2020-04-06	465	80s
2020-04-06	542	10s
2020-04-06	686	70s
2020-04-06	1086	30s
2020-04-06	1294	60s
2020-04-06	1375	40s
2020-04-06	1906	50s
2020-04-06	2804	20s
2020-04-07	126	0s
2020-04-07	466	80s
2020-04-07	544	10s
2020-04-07	689	70s
2020-04-07	1092	30s
2020-04-07	1304	60s
2020-04-07	1382	40s
2020-04-07	1909	50s
2020-04-07	2819	20s
