key	term	estimate	std.error	statistic	p.value
confirmed	Asym	9448.406040888876	85.78245925964313	110.14380005463349	1.0756853710648997e-84
confirmed	xmid	62.65072595943753	0.2361641206072669	265.28469184200765	3.0354519965301365e-113
confirmed	scal	4.4614533273855095	0.20139713876912949	22.15251594264143	1.215695886950032e-34
deceased	Asym	223.97363581563826	5.770335486839819	38.81466447253305	2.099560783685866e-51
deceased	xmid	81.19226233756584	0.6178642079003824	131.40793931642725	2.0486780460521404e-90
deceased	scal	9.512989685604268	0.2850079038215227	33.377985515663035	9.353548775218302e-47
