age	estimate	std.error	statistic	p.value	conf.low	conf.high	estimate_percentage
0s	0	0	NaN	NaN	0	0	0%
10s	0	0	NaN	NaN	0	0	0%
20s	0	0	NaN	NaN	0	0	0%
30s	-9.11639350716712e-18	3.511305000746041e-18	-2.5962978166892863	0.009533420794340896	-1.6005063115018754e-17	-2.2277238993154855e-18	0%
40s	9.709633323396924e-4	4.809603757816948e-5	20.188010930455675	1.0250670729889228e-78	8.766059033346838e-4	0.001065320761344701	0.1%
50s	0.00794765724817894	1.5581300736632284e-4	51.00766221329435	2.416477013542619e-308	0.007641974794468908	0.00825333970188897	0.79%
60s	0.026451252069419076	1.9136466196130992e-4	138.2243293945618	0	0.02607582244123537	0.026826681697602783	2.65%
70s	0.09652403421809891	8.340731875774535e-4	115.72609652931148	0	0.09488770396004158	0.09816036447615624	9.65%
80s	0.2363106076838359	0.002409699720259101	98.06641288003586	0	0.23158312738136416	0.24103808798630766	23.63%
